Age,Gender,Income (AED),Employment Status,Location in Dubai,Skincare Purchase Frequency,Average Monthly Spend (AED),Skincare Products Used,Purchase Influencers,Skin Concerns,Follow Influencer Recommendations,Trusted Influencer Tier,Preferred Platform,Persuasive Ad Format,Browse Time,Purchased After Influencer Promotion,Max Willingness to Spend (AED),Willingness to Try New Brand,Purchase Discouragement Factors,Number of Skincare Influencers Followed,Interest in Curated Skincare Box,Willing to Pay Premium,One Platform for Shopping Inspiration,Influencer Marketing Trust Score (1–5),Favorite Influencer or Brand
20,Male,"Below 5,000",Working Professional,Dubai Marina,Quarterly,234,"Cleansers, Sunscreens","Friends & Family, Packaging, Product Reviews","Oily Skin, Wrinkles, Dryness, Acne",Rarely,Mega,YouTube,Story,Morning,Yes,212,Very Unlikely,"Price Too High, Lack of Trust, No Visible Results",6–10,Yes,No,TikTok,3,Cheryl Beauty
33,Male,"20,000–35,000",Unemployed,Bur Dubai,Monthly,72,"Moisturizers, Cleansers","Price, Social Media Influencers","Acne, Dryness",Often,Micro,TikTok,Story,Afternoon,No,144,Likely,"Lack of Trust, Price Too High",1–5,Maybe,Depends on brand & value,Instagram,3,Jerry Beauty
25,Female,"5,000–10,000",Working Professional,Jumeirah,Weekly,385,"Face Masks, Cleansers, Serums","Social Media Influencers, Dermatologist Recommendations, Product Reviews","Dryness, Oily Skin, Acne",Always,Mega,YouTube,Static Image Post,Evening,No,308,Unlikely,Price Too High,1–5,Yes,No,Instagram,5,Kristen Beauty
27,Female,"5,000–10,000",Student,Jumeirah,Quarterly,86,"Moisturizers, Anti-aging Products, Sunscreens, Face Masks","Friends & Family, Brand","Wrinkles, Dark Spots",Sometimes,Macro,TikTok,Short Reels,Late Night,Yes,472,Likely,"Too Many Promotions, No Visible Results",1–5,Maybe,Depends on brand & value,TikTok,4,Vickie Beauty
25,Female,"5,000–10,000",Working Professional,Downtown,Quarterly,68,"Face Masks, Sunscreens, Anti-aging Products, Cleansers","Social Media Influencers, Dermatologist Recommendations, Packaging","Oily Skin, Wrinkles, Dark Spots, Uneven Tone",Often,Mega,TikTok,Static Image Post,Late Night,Yes,306,Likely,"Not Suitable for My Skin, Lack of Trust, No Visible Results",6–10,No,Yes,TikTok,4,Shirley Beauty
44,Female,"5,000–10,000",Working Professional,Downtown,Monthly,190,"Face Masks, Moisturizers","Brand, Social Media Influencers, Price","Dryness, Dark Spots, Acne, Uneven Tone",Sometimes,Macro,Instagram,Static Image Post,Evening,Yes,100,Very Unlikely,No Visible Results,11–20,No,No,Instagram,5,Laura Beauty
29,Female,"10,000–20,000",Working Professional,Downtown,Weekly,146,"Anti-aging Products, Cleansers","Social Media Influencers, Dermatologist Recommendations, Product Reviews","Acne, Wrinkles",Often,Micro,Instagram,Short Reels,Late Night,No,663,Very Likely,"No Visible Results, Too Many Promotions",11–20,Maybe,Depends on brand & value,Instagram,5,David Beauty
21,Prefer not to say,"Below 5,000",Unemployed,Dubai Marina,Weekly,112,"Serums, Face Masks, Cleansers","Product Reviews, Social Media Influencers, Packaging","Dryness, Dark Spots",Often,Macro,Instagram,Story,Morning,No,318,Very Unlikely,"Price Too High, Not Suitable for My Skin",1–5,Yes,No,Instagram,4,Kelly Beauty
36,Male,"Below 5,000",Homemaker,Bur Dubai,Monthly,122,"Sunscreens, Cleansers","Friends & Family, Social Media Influencers","Acne, Oily Skin, Dark Spots, Uneven Tone",Always,Celebrity,YouTube,Static Image Post,Morning,Yes,135,Likely,"No Visible Results, Lack of Trust, Price Too High",More than 20,Maybe,Yes,TikTok,4,Jacob Beauty
20,Female,"20,000–35,000",Student,Jumeirah,Monthly,164,"Face Masks, Cleansers, Sunscreens, Moisturizers","Social Media Influencers, Price, Dermatologist Recommendations","Wrinkles, Uneven Tone",Rarely,Micro,Instagram,Full-Length Video,Evening,Yes,107,Very Likely,"Price Too High, Too Many Promotions",1–5,No,Depends on brand & value,YouTube,4,Brian Beauty
31,Female,"5,000–10,000",Business Owner,Dubai Marina,Monthly,73,"Cleansers, Face Masks","Price, Social Media Influencers, Brand","Dark Spots, Uneven Tone, Oily Skin, Dryness",Sometimes,Mega,Snapchat,Static Image Post,Late Night,Yes,211,Likely,Not Suitable for My Skin,11–20,No,Depends on brand & value,Instagram,4,David Beauty
18,Female,"5,000–10,000",Student,Downtown,Monthly,554,"Anti-aging Products, Sunscreens, Cleansers, Face Masks","Packaging, Price",Dryness,Often,Mega,YouTube,Short Reels,Afternoon,Yes,239,Very Likely,"Price Too High, Too Many Promotions, No Visible Results",6–10,Maybe,Depends on brand & value,YouTube,4,Diane Beauty
19,Female,"5,000–10,000",Working Professional,Deira,Weekly,381,"Anti-aging Products, Moisturizers, Sunscreens","Social Media Influencers, Friends & Family, Product Reviews","Uneven Tone, Dark Spots, Wrinkles, Dryness",Sometimes,Mega,Instagram,Static Image Post,Evening,Yes,114,Neutral,Not Suitable for My Skin,None,Maybe,Depends on brand & value,Instagram,4,Jessica Beauty
31,Female,"Below 5,000",Working Professional,Downtown,Monthly,144,"Moisturizers, Sunscreens","Packaging, Brand, Dermatologist Recommendations","Wrinkles, Oily Skin, Acne",Often,Mega,Instagram,Static Image Post,Late Night,No,158,Unlikely,"Not Suitable for My Skin, Lack of Trust, No Visible Results",11–20,Yes,Yes,YouTube,1,Justin Beauty
35,Female,"20,000–35,000",Working Professional,Bur Dubai,Monthly,70,"Face Masks, Sunscreens, Serums","Friends & Family, Brand","Dryness, Oily Skin",Often,Celebrity,Instagram,Short Reels,Evening,No,173,Neutral,"Not Suitable for My Skin, Price Too High, Lack of Trust",6–10,Maybe,Yes,Instagram,4,Jonathan Beauty
31,Male,"10,000–20,000",Homemaker,Bur Dubai,Quarterly,152,"Cleansers, Sunscreens, Moisturizers, Anti-aging Products","Dermatologist Recommendations, Price","Uneven Tone, Wrinkles",Often,Mega,YouTube,Full-Length Video,Morning,No,155,Very Likely,Too Many Promotions,More than 20,No,No,Instagram,3,Barbara Beauty
29,Male,"20,000–35,000",Student,Dubai Marina,Monthly,56,"Cleansers, Anti-aging Products, Face Masks","Packaging, Social Media Influencers","Uneven Tone, Oily Skin, Acne, Wrinkles",Sometimes,Micro,Instagram,Short Reels,Afternoon,Yes,115,Likely,Not Suitable for My Skin,More than 20,No,No,YouTube,2,Glenn Beauty
27,Male,"10,000–20,000",Business Owner,Dubai Marina,Monthly,52,"Face Masks, Sunscreens","Dermatologist Recommendations, Price, Product Reviews","Dark Spots, Oily Skin, Dryness, Acne",Rarely,Micro,Instagram,Story,Late Night,No,165,Very Likely,"No Visible Results, Too Many Promotions, Not Suitable for My Skin",11–20,Maybe,Depends on brand & value,TikTok,2,Michele Beauty
18,Male,"20,000–35,000",Business Owner,Dubai Marina,Monthly,76,"Sunscreens, Anti-aging Products, Moisturizers, Face Masks","Social Media Influencers, Brand, Dermatologist Recommendations","Uneven Tone, Oily Skin, Dark Spots",Often,Mega,Instagram,Static Image Post,Evening,Yes,266,Likely,No Visible Results,6–10,Yes,Yes,YouTube,4,Kristina Beauty
24,Male,"10,000–20,000",Working Professional,Downtown,Monthly,105,"Face Masks, Moisturizers, Anti-aging Products","Dermatologist Recommendations, Friends & Family","Wrinkles, Dark Spots",Rarely,Mega,TikTok,Static Image Post,Late Night,Yes,108,Likely,"Too Many Promotions, Lack of Trust",1–5,No,Depends on brand & value,Instagram,4,Donald Beauty
26,Male,"5,000–10,000",Working Professional,Dubai Marina,Quarterly,232,"Sunscreens, Face Masks","Product Reviews, Price","Uneven Tone, Oily Skin",Never,Micro,Facebook,Static Image Post,Evening,No,110,Unlikely,"Too Many Promotions, Price Too High",11–20,Maybe,Depends on brand & value,Instagram,3,Scott Beauty
38,Male,"10,000–20,000",Homemaker,Jumeirah,Monthly,166,"Face Masks, Serums, Cleansers","Dermatologist Recommendations, Packaging","Dark Spots, Acne",Sometimes,Mega,TikTok,Static Image Post,Afternoon,No,152,Very Unlikely,Lack of Trust,6–10,Maybe,Yes,Instagram,4,Kyle Beauty
32,Female,"35,000 and above",Working Professional,Downtown,Quarterly,172,"Cleansers, Serums","Friends & Family, Packaging, Dermatologist Recommendations","Uneven Tone, Oily Skin",Sometimes,Macro,Instagram,Static Image Post,Afternoon,No,441,Very Unlikely,Too Many Promotions,1–5,No,Yes,Instagram,4,Cameron Beauty
18,Male,"Below 5,000",Unemployed,Downtown,Monthly,99,"Cleansers, Anti-aging Products, Serums, Face Masks","Social Media Influencers, Price, Product Reviews","Acne, Wrinkles",Sometimes,Celebrity,TikTok,Static Image Post,Morning,Yes,232,Neutral,No Visible Results,6–10,Yes,No,YouTube,3,Derek Beauty
32,Male,"20,000–35,000",Student,Deira,Monthly,88,"Serums, Anti-aging Products","Brand, Social Media Influencers","Oily Skin, Acne, Dark Spots",Always,Macro,Instagram,Static Image Post,Afternoon,No,236,Very Unlikely,"Lack of Trust, Too Many Promotions, No Visible Results",11–20,No,No,TikTok,4,Tammy Beauty
26,Male,"20,000–35,000",Unemployed,Bur Dubai,Monthly,91,"Anti-aging Products, Face Masks","Product Reviews, Social Media Influencers, Packaging","Wrinkles, Acne, Oily Skin",Sometimes,Celebrity,Instagram,Static Image Post,Morning,Yes,153,Unlikely,"No Visible Results, Price Too High, Not Suitable for My Skin",11–20,Maybe,Yes,YouTube,5,Daniel Beauty
24,Male,"10,000–20,000",Unemployed,Dubai Marina,Monthly,445,"Anti-aging Products, Serums, Sunscreens, Moisturizers","Brand, Friends & Family",Dark Spots,Always,Mega,Instagram,Story,Afternoon,No,208,Likely,"Lack of Trust, Price Too High, Too Many Promotions",6–10,Maybe,No,YouTube,5,Tammy Beauty
34,Non-binary,"10,000–20,000",Student,Deira,Monthly,53,"Moisturizers, Face Masks, Cleansers","Social Media Influencers, Packaging","Dark Spots, Uneven Tone, Wrinkles",Sometimes,Micro,Facebook,Story,Morning,No,101,Very Likely,No Visible Results,6–10,Maybe,No,Instagram,4,Jeffery Beauty
38,Female,"35,000 and above",Unemployed,Dubai Marina,Monthly,231,"Face Masks, Moisturizers, Cleansers","Social Media Influencers, Friends & Family, Price",Dark Spots,Often,Mega,TikTok,Story,Afternoon,No,221,Very Unlikely,Too Many Promotions,6–10,No,Yes,Instagram,4,Michelle Beauty
37,Female,"Below 5,000",Working Professional,Other,Quarterly,127,"Serums, Cleansers, Anti-aging Products, Moisturizers","Friends & Family, Dermatologist Recommendations, Social Media Influencers","Oily Skin, Acne, Wrinkles",Always,None,Snapchat,Static Image Post,Late Night,No,393,Unlikely,"Not Suitable for My Skin, Price Too High, Lack of Trust",6–10,No,Depends on brand & value,Instagram,2,Tyler Beauty
23,Male,"10,000–20,000",Working Professional,Downtown,Quarterly,101,"Anti-aging Products, Serums, Face Masks, Cleansers","Product Reviews, Packaging, Friends & Family","Wrinkles, Uneven Tone, Dark Spots, Acne",Sometimes,Micro,YouTube,Static Image Post,Evening,Yes,213,Unlikely,"Lack of Trust, Too Many Promotions",1–5,Maybe,Depends on brand & value,YouTube,3,Rachel Beauty
27,Female,"10,000–20,000",Working Professional,Deira,Quarterly,166,"Moisturizers, Face Masks","Product Reviews, Packaging","Dark Spots, Wrinkles, Acne, Uneven Tone",Sometimes,Micro,Instagram,Short Reels,Afternoon,No,348,Likely,"Lack of Trust, Too Many Promotions, Price Too High",1–5,Maybe,Depends on brand & value,Instagram,2,Willie Beauty
32,Male,"10,000–20,000",Working Professional,Downtown,Monthly,110,"Sunscreens, Serums, Moisturizers","Social Media Influencers, Product Reviews","Acne, Wrinkles, Dryness",Sometimes,Macro,YouTube,Story,Evening,Yes,254,Likely,"Not Suitable for My Skin, Price Too High, Too Many Promotions",6–10,No,Yes,Instagram,5,Shelly Beauty
37,Male,"10,000–20,000",Unemployed,Deira,Quarterly,236,"Anti-aging Products, Sunscreens, Face Masks, Moisturizers","Dermatologist Recommendations, Packaging, Price","Dryness, Acne",Sometimes,Macro,Instagram,Short Reels,Afternoon,Yes,115,Likely,"Not Suitable for My Skin, Price Too High, Lack of Trust",6–10,Maybe,No,Instagram,2,Jeffrey Beauty
26,Prefer not to say,"35,000 and above",Working Professional,Downtown,Monthly,257,"Cleansers, Anti-aging Products, Serums","Packaging, Product Reviews","Acne, Dark Spots, Uneven Tone, Oily Skin",Often,Micro,YouTube,Full-Length Video,Afternoon,No,379,Unlikely,No Visible Results,None,Maybe,Depends on brand & value,Instagram,3,Patricia Beauty
28,Female,"Below 5,000",Business Owner,Downtown,Monthly,99,"Sunscreens, Serums","Friends & Family, Price",Oily Skin,Often,None,TikTok,Short Reels,Late Night,Yes,108,Neutral,"Price Too High, Lack of Trust, Not Suitable for My Skin",None,Yes,Yes,YouTube,5,Tanya Beauty
21,Female,"Below 5,000",Working Professional,Dubai Marina,Weekly,79,"Moisturizers, Sunscreens, Face Masks","Packaging, Friends & Family, Dermatologist Recommendations",Wrinkles,Rarely,Mega,Instagram,Short Reels,Evening,No,191,Likely,Not Suitable for My Skin,None,No,Depends on brand & value,YouTube,5,Claudia Beauty
20,Female,"10,000–20,000",Working Professional,Jumeirah,Monthly,130,"Face Masks, Moisturizers, Cleansers, Anti-aging Products","Product Reviews, Price","Dryness, Wrinkles, Acne",Often,Mega,YouTube,Static Image Post,Late Night,Yes,118,Likely,"No Visible Results, Lack of Trust",1–5,Maybe,Depends on brand & value,Instagram,5,Sara Beauty
36,Female,"Below 5,000",Working Professional,Bur Dubai,Monthly,269,"Cleansers, Sunscreens, Anti-aging Products, Moisturizers","Brand, Price","Dark Spots, Oily Skin, Dryness",Often,Macro,YouTube,Story,Late Night,Yes,101,Very Likely,Not Suitable for My Skin,6–10,No,No,YouTube,1,Kevin Beauty
40,Female,"5,000–10,000",Working Professional,Dubai Marina,Monthly,71,"Serums, Anti-aging Products, Face Masks, Cleansers","Dermatologist Recommendations, Packaging, Friends & Family","Wrinkles, Acne, Uneven Tone",Often,Micro,Instagram,Short Reels,Morning,Yes,165,Very Likely,"No Visible Results, Too Many Promotions",1–5,Maybe,No,YouTube,1,Micheal Beauty
29,Male,"10,000–20,000",Working Professional,Downtown,Monthly,137,"Moisturizers, Face Masks, Anti-aging Products, Serums","Social Media Influencers, Price, Dermatologist Recommendations","Dark Spots, Acne, Wrinkles, Uneven Tone",Sometimes,Celebrity,TikTok,Static Image Post,Morning,Yes,141,Very Likely,"Lack of Trust, Too Many Promotions",11–20,Yes,No,TikTok,3,Michael Beauty
38,Male,"10,000–20,000",Working Professional,Deira,Monthly,139,"Cleansers, Sunscreens, Moisturizers","Dermatologist Recommendations, Social Media Influencers, Product Reviews","Dark Spots, Oily Skin",Sometimes,Mega,Instagram,Story,Morning,No,179,Very Likely,"Price Too High, Lack of Trust, Not Suitable for My Skin",1–5,Maybe,Yes,Instagram,2,Jenna Beauty
32,Male,"5,000–10,000",Student,Other,Quarterly,168,"Face Masks, Serums, Anti-aging Products, Sunscreens","Packaging, Brand, Product Reviews",Dryness,Sometimes,Macro,Instagram,Static Image Post,Morning,No,203,Very Likely,"No Visible Results, Too Many Promotions",11–20,No,Yes,TikTok,1,Michael Beauty
24,Male,"35,000 and above",Unemployed,Bur Dubai,Weekly,62,"Face Masks, Moisturizers, Anti-aging Products","Friends & Family, Social Media Influencers, Brand","Acne, Oily Skin, Dryness, Wrinkles",Often,Macro,Instagram,Static Image Post,Afternoon,Yes,105,Likely,Lack of Trust,None,Maybe,Depends on brand & value,TikTok,4,Stephanie Beauty
32,Male,"10,000–20,000",Working Professional,Bur Dubai,Rarely,163,"Anti-aging Products, Cleansers, Serums, Face Masks","Social Media Influencers, Dermatologist Recommendations, Price","Dryness, Acne, Oily Skin, Dark Spots",Always,Macro,Snapchat,Short Reels,Afternoon,Yes,115,Very Unlikely,"Not Suitable for My Skin, Price Too High",1–5,Maybe,Yes,Instagram,5,Deborah Beauty
42,Non-binary,"10,000–20,000",Homemaker,Jumeirah,Weekly,265,"Face Masks, Serums, Sunscreens, Anti-aging Products","Social Media Influencers, Price, Product Reviews","Acne, Oily Skin, Uneven Tone",Often,None,Facebook,Short Reels,Late Night,Yes,198,Unlikely,"Price Too High, Not Suitable for My Skin",6–10,Maybe,Depends on brand & value,Instagram,3,Tina Beauty
29,Female,"10,000–20,000",Unemployed,Jumeirah,Weekly,67,"Serums, Moisturizers","Dermatologist Recommendations, Social Media Influencers, Friends & Family",Wrinkles,Always,Micro,Instagram,Static Image Post,Late Night,No,150,Likely,"Price Too High, Lack of Trust, Not Suitable for My Skin",None,Yes,Yes,TikTok,4,Colin Beauty
42,Male,"Below 5,000",Working Professional,Deira,Weekly,74,"Serums, Cleansers, Face Masks","Social Media Influencers, Friends & Family","Acne, Dark Spots, Wrinkles, Uneven Tone",Often,Micro,YouTube,Story,Evening,No,256,Neutral,Lack of Trust,1–5,Maybe,No,TikTok,4,Brenda Beauty
18,Female,"20,000–35,000",Working Professional,Deira,Rarely,369,"Face Masks, Serums, Sunscreens, Moisturizers","Friends & Family, Dermatologist Recommendations",Dryness,Sometimes,Mega,Instagram,Static Image Post,Late Night,No,226,Very Unlikely,"No Visible Results, Lack of Trust",6–10,Maybe,Yes,YouTube,3,Kristine Beauty
36,Male,"20,000–35,000",Working Professional,Other,Monthly,67,"Anti-aging Products, Cleansers, Face Masks, Serums","Social Media Influencers, Price, Packaging","Wrinkles, Acne, Dryness",Often,Macro,Instagram,Full-Length Video,Evening,No,324,Very Unlikely,"Too Many Promotions, Lack of Trust",None,No,Yes,YouTube,4,Dwayne Beauty
30,Non-binary,"10,000–20,000",Working Professional,Deira,Weekly,223,"Face Masks, Cleansers","Product Reviews, Brand",Dryness,Sometimes,Mega,YouTube,Story,Evening,Yes,241,Very Likely,"Too Many Promotions, Not Suitable for My Skin",6–10,Yes,Depends on brand & value,TikTok,3,Susan Beauty
27,Female,"20,000–35,000",Student,Other,Monthly,111,"Anti-aging Products, Moisturizers","Packaging, Price, Social Media Influencers","Uneven Tone, Acne, Dryness",Sometimes,Macro,Instagram,Short Reels,Late Night,Yes,167,Likely,"Price Too High, Lack of Trust, No Visible Results",6–10,Maybe,Depends on brand & value,TikTok,2,Stephen Beauty
30,Male,"20,000–35,000",Working Professional,Deira,Weekly,75,"Face Masks, Sunscreens, Serums","Friends & Family, Price, Social Media Influencers","Dark Spots, Dryness, Wrinkles",Often,Macro,Facebook,Short Reels,Evening,No,234,Likely,"No Visible Results, Lack of Trust, Too Many Promotions",1–5,Maybe,No,YouTube,4,Ashley Beauty
